model_name,model_size_b,dataset_name,module_name,module_short,module_role,module_class,module_leaf,layer_idx,num_layers_hint,normalized_depth,candidate_format,seeds,n_labeled_seeds,baseline_loss_mean,perturbed_loss_mean,perturbation_delta_mean,perturbation_delta_min,perturbation_delta_max,mean_abs_delta,max_abs_delta,std_abs_delta,max_batch_loss_delta_abs,safe_rate,safe_seed_count,label_count,safe_all_seeds_int,activation_outlier_score_mean,activation_outlier_score_max,input_outlier_score_mean,input_outlier_score_max,output_outlier_score_mean,output_outlier_score_max,int8_rel_mse_mean,int8_rel_mse_max,input_int8_rel_mse_mean_mean,input_int8_rel_mse_mean_max,output_int8_rel_mse_mean_mean,output_int8_rel_mse_mean_max,output_int4_rel_mse_mean_mean,output_int4_rel_mse_mean_max,output_int8_saturation_mean_mean,output_int8_saturation_mean_max,output_int4_saturation_mean_mean,output_int4_saturation_mean_max,safe_threshold,safe_all_seeds,safe_majority,unsafe_all_seeds,unsafe_any_seed,conservative_rescue_target,activation_outlier_score_agg,int8_rel_mse_agg
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.lm_head,base_model.model.lm_head,logits,Linear,lm_head,,28,,fake_int8_output,"42,43,44",3,1.77951806784,1.7864984373266666,0.006980369488396666,0.00443533062935,0.0116916000843,0.006980369488396666,0.0116916000843,0.0040844401796733005,0.0180222988129,0.6666666666666666,2,3,0,44.587113698299994,47.4081573486,44.587113698299994,47.4081573486,8.591280460356666,9.84181404114,0.00792563147843,0.00864329375327,0.00792563147843,0.00864329375327,0.00028446234864533334,0.000337279667292,0.09371845982973333,0.111068185419,1.0853259482233333e-06,1.25229917103e-06,1.9201920622433336e-06,2.25413850785e-06,0.005,0,1,0,1,1,47.4081573486,0.00864329375327
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.2.mlp.down_proj,layers.2.mlp.down_proj,mlp_projection,Linear,down_proj,2.0,28,0.0740740740741,fake_int8_output,"42,43,44",3,1.77951806784,1.7741375366866665,-0.00538053115209,-0.00757718086243,-0.00376433134079,0.00538053115209,0.00757718086243,0.001971584878375581,0.021516084671,0.6666666666666666,2,3,0,502.23510742166667,586.9375,502.23510742166667,586.9375,67.53771718343334,68.4344482422,0.07330276879173334,0.079185272567,0.07330276879173334,0.079185272567,0.0211463139082,0.0221907319501,0.467650751273,0.482750028372,1.08991355319e-06,1.08991355319e-06,3.2697407732499994e-06,3.26974077325e-06,0.005,0,1,0,1,1,586.9375,0.079185272567
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.2.self_attn.o_proj,layers.2.self_attn.o_proj,attention_projection,Linear,o_proj,2.0,28,0.0740740740741,fake_int8_output,"42,43,44",3,1.77951806784,1.7762515147533333,-0.0032665530840699994,-0.0110846459866,0.00551819801331,0.00694535175961,0.0110846459866,0.0036418560172093747,0.0155463218689,0.3333333333333333,1,3,0,165.029953003,171.86907959,30.591431935633334,31.6190376282,165.029953003,171.86907959,0.11927478450033334,0.123013788834,0.004129060330646667,0.00463147257688,0.11927478450033334,0.123013788834,0.7872514128686667,0.845740094781,1.08991355319e-06,1.08991355319e-06,1.08991355319e-06,1.08991355319e-06,0.005,0,0,0,1,1,171.86907959,0.123013788834
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.24.mlp.down_proj,layers.24.mlp.down_proj,mlp_projection,Linear,down_proj,24.0,28,0.888888888889,fake_int8_output,"42,43,44",3,1.77951806784,1.7856051822533334,0.00608711441357,-0.00153276324272,0.0117001533508,0.0071089565753833335,0.0117001533508,0.00515476663543672,0.0231982469559,0.3333333333333333,1,3,0,123.78274281799999,129.940765381,114.1003621419,129.940765381,121.40421803766667,122.80519104,0.0636017145589,0.0654406892136,0.0406204732911,0.056488708593,0.0636017145589,0.0654406892136,0.6908979564903334,0.743293479085,1.08991355319e-06,1.08991355319e-06,1.08991355319e-06,1.08991355319e-06,0.005,0,0,0,1,1,129.940765381,0.0654406892136
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.26.mlp.gate_proj,layers.26.mlp.gate_proj,mlp_projection,Linear,gate_proj,26.0,28,0.962962962963,fake_int8_output,"42,43,44",3,1.77951806784,1.7781128982733332,-0.0014051695664736668,-0.00337037444115,-0.000122278928757,0.0014051695664736668,0.00337037444115,0.0017282059058096276,0.00888204574585,1.0,3,3,1,98.1740315755,99.9565505981,98.1740315755,99.9565505981,20.3040129344,21.7159404755,0.04433756663150001,0.0466424692422,0.04433756663150001,0.0466424692422,0.0017204321047766668,0.00196986019728,0.5565332770346666,0.607030585408,1.0309991012e-06,1.0309991012e-06,2.4056645694766667e-06,2.57749775301e-06,0.005,1,1,0,0,0,99.9565505981,0.0466424692422
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.26.mlp.up_proj,layers.26.mlp.up_proj,mlp_projection,Linear,up_proj,26.0,28,0.962962962963,fake_int8_output,"42,43,44",3,1.77951806784,1.78147720297,0.0019591351350159996,-0.000433266162872,0.00440987944603,0.0022479792435973335,0.00440987944603,0.0020109121000324026,0.0154316425323,1.0,3,3,1,98.1740315755,99.9565505981,98.1740315755,99.9565505981,16.720041275,17.1712913513,0.04433756663150001,0.0466424692422,0.04433756663150001,0.0466424692422,0.00113227770877,0.00122810275934,0.32888932650266667,0.350588135421,1.1169156929666666e-06,1.2887488765e-06,1.8901650188733334e-06,2.57749775301e-06,0.005,1,1,0,0,0,99.9565505981,0.0466424692422
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.26.self_attn.o_proj,layers.26.self_attn.o_proj,attention_projection,Linear,o_proj,26.0,28,0.962962962963,fake_int8_output,"42,43,44",3,1.77951806784,1.7806100944666667,0.0010920266310366666,-0.00366768240929,0.00462621450424,0.00353714823723,0.00462621450424,0.0011598555373395047,0.0122632980347,1.0,3,3,1,62.748462677,67.4627304077,16.8839152654,17.567029953,62.748462677,67.4627304077,0.014842643712933333,0.0163215899374,0.0010435902416543333,0.0011375342292,0.014842643712933333,0.0163215899374,0.554115958512,0.581543400884,1.18073968262e-06,1.36239194148e-06,2.7247839208633335e-06,3.81469746458e-06,0.005,1,1,0,0,0,67.4627304077,0.0163215899374
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.26.self_attn.q_proj,layers.26.self_attn.q_proj,attention_projection,Linear,q_proj,26.0,28,0.962962962963,fake_int8_output,"42,43,44",3,1.77951806784,1.78030555447,0.0007874866326649999,-0.0032154917717,0.00622218847275,0.003360639015835,0.00622218847275,0.0027918071207057443,0.0103607177734,0.6666666666666666,2,3,0,20.119837443066668,20.1865539551,20.119837443066668,20.1865539551,11.337793032299999,11.5107479095,0.0019114546012133334,0.00194268362247,0.0019114546012133334,0.00194268362247,0.00059874055781,0.000627745932434,0.16808829332433337,0.176089599729,1.3623919414833333e-06,1.63487032978e-06,1.2443179722763333e-05,2.67028818826e-05,0.005,0,1,0,1,1,20.1865539551,0.00194268362247
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.27.mlp.gate_proj,layers.27.mlp.gate_proj,mlp_projection,Linear,gate_proj,27.0,28,1.0,fake_int8_output,"42,43,44",3,1.77951806784,1.7814081609266665,0.0018900930881486668,-0.000381737947464,0.00339165329933,0.0021445850531246666,0.00339165329933,0.0015698466422696964,0.0112694501877,1.0,3,3,1,36.48943583173334,37.1385650635,36.48943583173334,37.1385650635,15.355199178066668,16.7001628876,0.006078451406213333,0.00631995883305,0.006078451406213333,0.00631995883305,0.001083897664408,0.00128407229204,0.40689781059799995,0.475766070187,1.1169156929666666e-06,1.2887488765e-06,4.381746255906666e-06,8.5057428123e-06,0.005,1,1,0,0,0,37.1385650635,0.00631995883305
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.27.mlp.up_proj,layers.27.mlp.up_proj,mlp_projection,Linear,up_proj,27.0,28,1.0,fake_int8_output,"42,43,44",3,1.77951806784,1.7806222836166665,0.001104215780893,-0.00216901302338,0.00513631105423,0.0025502244631463336,0.00513631105423,0.002418123285865311,0.0179969072342,0.6666666666666666,2,3,0,36.48943583173334,37.1385650635,36.48943583173334,37.1385650635,17.716078440333334,18.3946743011,0.006078451406213333,0.00631995883305,0.006078451406213333,0.00631995883305,0.00135805447159,0.00143064750591,0.29734279960366666,0.312825784087,1.0309991012e-06,1.0309991012e-06,1.2028322847366666e-06,1.54649865181e-06,0.005,0,1,0,1,1,37.1385650635,0.00631995883305
